Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class,"i18n::phonenumbers::AsYouTypeFormatter",0,19,2,67,599,161,2,2,2,1,22,0,19,2,0,6,0,,1,0,,,,,31,12,12,0,0,32,32,5,93,11,0,21,,826,67,599,97,139,161,0,0,,,,,230,111,1,118,,,,,,19,16,19,13,,0,3,,87,0.27,76,73,77,44
Private Function,"i18n::phonenumbers::AsYouTypeFormatter::AbleToExtractLongerNdd()",,,,0,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,11,3,0,5,0,0,1,2,0,6,3,2,0,1,2,2,2,1,0,,,,,0,,1,0,,0.45,,,,
Public Const Function,"i18n::phonenumbers::AsYouTypeFormatter::AppendNationalNumber(const int &,int *)",,,,0,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,0,17,3,1,4,0,0,0,2,0,5,2,1,0,1,2,2,2,1,1,,,,,0,,1,0,,0.24,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::AsYouTypeFormatter(const int &)",,,,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,0,26,1,12,0,0,0,14,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::AttemptToChooseFormattingPattern(int *)",,,,0,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,21,2,5,3,0,0,1,4,1,10,5,0,0,5,4,4,4,3,4,,,,,3,,2,3,,0.14,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::AttemptToChoosePatternWithPrefixExtracted(int *)",,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,2,4,0,0,0,4,1,0,7,4,0,0,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Private Function,"i18n::phonenumbers::AsYouTypeFormatter::AttemptToExtractCountryCode()",,,,1,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,24,4,5,2,0,0,1,5,1,13,10,3,0,7,5,5,5,3,3,,,,,2,,1,2,,0.08,,,,
Private Function,"i18n::phonenumbers::AsYouTypeFormatter::AttemptToExtractIdd()",,,,4,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33,4,29,6,4,0,0,0,3,3,0,15,10,5,0,5,3,3,3,1,1,,,,,0,,2,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::AttemptToFormatAccruedDigits(int *)",,,,4,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,4,28,8,0,8,0,0,0,1,0,18,6,6,0,0,1,1,1,1,0,,,,,0,,0,0,,0.29,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::Clear()",,,,1,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,22,1,11,0,0,0,9,2,0,18,12,0,0,12,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
