Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"(unnamed_function_1).Kb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,5,1,14,4,4,,10,10,,6,6,8,5,,,,,4,,6,6,8,5
Function,"(unnamed_function_1).L",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,3,3,4,1,,,,,0,,3,3,4,1
Function,"(unnamed_function_1).Lb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,18,1,1,,17,17,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).M",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,4,1,1,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"(unnamed_function_1).Mb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,5,2,2,,3,3,,3,3,3,1,,,,,0,,3,3,3,1
Function,"(unnamed_function_1).O",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,7,1,15,3,3,,12,12,,5,5,6,5,,,,,2,,5,5,6,5
Function,"(unnamed_function_1).P",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,2,2,,3,3,,3,3,5,1,,,,,1,,3,3,5,1
Function,"(unnamed_function_1).Q",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,4,1,6,1,1,,5,5,,4,2,4,1,,,,,1,,4,2,4,1
Function,"(unnamed_function_1).Qb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,4,1,16,6,6,,10,10,,6,6,6,4,,,,,2,,6,6,6,4
Function,"(unnamed_function_1).R",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).Rb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,2,2,,3,3,,3,3,4,1,,,,,1,,3,3,4,1
Function,"(unnamed_function_1).S",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,1,1,,2,2,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).Sb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).Ta",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).Tb",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,15,1,27,2,2,,25,25,,18,15,22,12,,,,,4,,18,15,22,12
Function,"(unnamed_function_1).U",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,4,1,12,2,2,,10,10,,4,4,4,4,,,,,2,,4,4,4,4
Function,"(unnamed_function_1).Ub",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,2,2,5,1,,,,,0,,2,2,5,1
Function,"(unnamed_function_1).V",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,2,2,,1,1,,2,2,3,1,,,,,0,,2,2,3,1
Function,"(unnamed_function_1).Vb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,3,0,13,2,2,,11,11,,4,4,5,3,,,,,1,,4,4,5,3
Class Function,"(unnamed_function_1).W",0,0,0,0,0,0,0,0,0,0,,0,0,,,,4,3,0,0,0,4,4,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,1,1,,3,3,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Function,"(unnamed_function_1).Wb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,8,1,1,,7,7,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).Xb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,9,3,3,,6,6,,3,3,9,1,,,,,1,,3,3,9,1
Function,"(unnamed_function_1).Yb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,3,0,10,3,3,,7,7,,6,6,17,1,,,,,2,,6,6,17,1
Function,"(unnamed_function_1).Zb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,12,3,3,,9,9,,2,2,3,1,,,,,1,,2,2,3,1
Function,"(unnamed_function_1).ab",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,2,2,3,1,,,,,0,,2,2,3,1
Function,"(unnamed_function_1).ac",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,3,0,7,2,2,,5,5,,4,4,4,1,,,,,2,,4,4,4,1
Function,"(unnamed_function_1).ba",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,5,2,2,,3,3,,1,1,1,1,,,,,0,,3,3,3,2
Function,"(unnamed_function_1).bb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).bc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,2,2,,1,1,,2,2,4,1,,,,,0,,2,2,4,1
Class Function,"(unnamed_function_1).ca",0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,1,0,0,0,0,0,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,1,1,,4,4,,3,3,3,1,0,0,0,0,1,,3,3,3,1
Function,"(unnamed_function_1).cb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).cc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).da",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).db",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).dc",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,15,1,30,2,2,,28,28,,12,9,17,9,,,,,4,,12,9,17,9
Function,"(unnamed_function_1).ea",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"(unnamed_function_1).eb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,3,1,,,,,0,,1,1,3,1
Function,"(unnamed_function_1).ec",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,1,1,1,,0,0,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).fa",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,3,3,3,1,,,,,0,,3,3,3,1
Function,"(unnamed_function_1).fb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"(unnamed_function_1).fc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,6,3,3,,3,3,,1,1,1,1,,,,,0,,2,2,3,2
Unnamed Function,"(unnamed_function_1).fc.(unnamed_function_9)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,1,1,2,1,,,,,0,,1,1,2,1
Function,"(unnamed_function_1).gb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,3,1,,,,,0,,1,1,3,1
Function,"(unnamed_function_1).ha",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,2,2,,3,3,,2,2,2,1,,,,,1,,2,2,2,1
Function,"(unnamed_function_1).hb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,4,4,5,1,,,,,0,,4,4,5,1
Function,"(unnamed_function_1).ia",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,3,0,7,1,1,,6,6,,3,3,4,3,,,,,2,,3,3,4,3
Function,"(unnamed_function_1).ib",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,1,1,,3,3,,3,3,4,1,,,,,0,,3,3,4,1
Function,"(unnamed_function_1).ic",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,2,2,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"(unnamed_function_1).ja",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,2,2,2,2
Unnamed Function,"(unnamed_function_1).ja.(unnamed_function_4)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).jb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,8,2,2,,6,6,,2,2,2,1,,,,,1,,2,2,2,1
Function,"(unnamed_function_1).jc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,12,1,16,2,2,,14,14,,13,3,13,1,,,,,1,,13,3,13,1
Function,"(unnamed_function_1).k",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,11,3,3,,8,8,,1,1,1,1,,,,,0,,4,4,4,3
Class Function,"(unnamed_function_1).k.c",0,0,0,0,0,0,0,0,1,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,1,1,1,,0,0,,1,1,1,1,0,0,0,1,0,,1,1,1,1
Function,"(unnamed_function_1).ka",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,10,1,1,,9,9,,8,2,8,1,,,,,1,,8,2,8,1
Function,"(unnamed_function_1).kb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,6,1,18,3,3,,15,15,,8,8,10,6,,,,,2,,8,8,10,6
Function,"(unnamed_function_1).kc",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,57,2,70,11,11,,59,59,,15,12,23,3,,,,,3,,15,12,23,3
Class Function,"(unnamed_function_1).l",0,0,0,0,0,0,0,0,0,0,,0,0,,,,4,0,0,0,0,4,4,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,0,0,0,0,0,,1,1,2,1
Function,"(unnamed_function_1).lb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,5,1,1,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
Function,"(unnamed_function_1).mb",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,39,2,40,5,5,,35,35,,19,17,25,9,,,,,4,,19,17,25,9
Function,"(unnamed_function_1).n",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).nb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,4,1,8,2,2,,6,6,,4,4,5,4,,,,,3,,4,4,5,4
Function,"(unnamed_function_1).ob",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,2,2,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Class Function,"(unnamed_function_1).p",0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,3,0,0,0,0,0,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,2,0,6,2,2,,4,4,,2,2,4,1,0,0,0,0,1,,2,2,4,1
Function,"(unnamed_function_1).pb",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,18432,4,63,4,4,,59,59,,22,22,42,14,,,,,3,,22,22,42,14
Unnamed Function,"(unnamed_function_1).q.(unnamed_function_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Unnamed Function,"(unnamed_function_1).q.(unnamed_function_3)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,4,1,8,1,1,,7,7,,7,7,9,4,,,,,2,,7,7,9,4
Function,"(unnamed_function_1).qb",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,0,5,2,2,,3,3,,3,3,9,1,,,,,0,,3,3,9,1
Function,"(unnamed_function_1).r",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
