Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.createFormattingTemplate(NumberFormat)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,0,,,,10,,,3,7,0,,,,7,2,0,6,8,3,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.getAvailableFormats(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,,,,0,,,,26,,,4,20,9,,,,13,7,1,6,12,4,,,8,,,6,6,14,4,2,,,,,2,,2,2,,,0.35,6,6,14,4
Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.getExtractedNationalPrefix()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.getFormattingTemplate(String,String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,,,,0,,,,12,,,5,9,7,,,,7,2,0,8,10,5,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.58,2,2,2,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.getMetadataForRegion(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,9,,,4,6,2,,,,4,2,0,5,7,4,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.22,2,2,2,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.getRememberedPosition()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,,,,0,,,,15,,,3,10,4,,,,3,4,1,6,10,3,,,7,,,4,4,5,1,1,,,,,0,,2,0,,,0.27,4,4,5,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.inputAccruedNationalNumber()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,,,,0,,,,12,,,3,8,4,,,,6,3,0,7,10,4,,,6,,,4,4,4,1,1,,,,,0,,2,0,,,0.33,4,4,4,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.inputDigit(char)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,0,,,,4,,,1,2,9,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,2.25,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.inputDigitAndRememberPosition(char)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,0,,,,4,,,1,2,6,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.50,1,1,1,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.inputDigitHelper(char)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,,,,0,,,,15,,,3,11,5,,,,13,3,0,8,11,3,,,8,,,3,3,3,1,1,,,,,0,,2,0,,,0.33,3,3,3,1
